Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Ship_Mode,Delivery_Days,Return_Status
O0023,2025-09-15,C069,P003,5,117,0.15 ,497.25,421.2,76.05,UPI,Standard,7,No
O0024,2025-05-01,C027,P008,4,555,0.15 ,1887.0,1598.4,288.6,Card,Express,6,No
O0025,2025-01-24,C079,P021,2,129,0.05,245.1,185.76,59.34, Card ,Express,6,No
O0026,2025-11-15,C073,P005,1,543,0,543.0,390.96,152.04,UPI,Express,6,Yes
O0027,2025-12-21,C028,P022,4,347,0.1,1249.2,999.36,249.84,UPI,Express,4,Yes
O0028,2025-10-09,C026,P010,1,534,0,534.0,384.48,149.52,UPI,Express,1,No
O0029,2025-05-18,C050,P007,2,126,0,252.0,181.44,70.56,Card,Express,3,Yes
O0030,2025-11-05,C010,P017,3,958,0,2874.0,2069.28,804.72,Cash,standard,2,No
O0031,2025-09-06,C051,P001,2,53,0.15 ,90.1,76.32,13.78,Cash,Express,4,No
O0032,2025-03-14,C054,P012,4,373,0,1492.0,1074.24,417.76,UPI,Standard,3,No
O0033,2025-07-23,C016,P005,2,780,0,1560.0,1123.2,436.8,Cash,Express,3,No
O0034,2025-02-03,C051,P013,5,128,0.1,576.0,460.8,115.2,UPI,Express,7,Yes
O0035,2025-05-24,C014,P002,3,700,0.05,1995.0,1512.0,483.0,Card,Express,4,No
O0036,2025-04-08,C048,P026,4,955,0,3820.0,2750.4,1069.6,Cash,Express,5,Yes
O0037,2025-02-11,C007,P030,4,511,0.05,1941.8,1471.68,,Cash,Express,4,Yes
O0038,2025-10-09,C017,P006,4,474,0.1,1706.4,1365.12,341.28,UPI,Express,3,No
O0039,2025-07-27,C031,P010,4,620,0.15 ,2108.0,1785.6,322.4,Card,Standard,6,Yes
O0040,08/02/2025,C027,P017,4,613,0.05,2329.4,1765.44,563.96,UPI,Express,7,No
O0041,2025-08-07,C018,P018,2,299,0,598.0,430.56,-43.19,Cash,Standard,3,Yes
O0042,2025-07-08,C034,P026,5,256,0,1280.0,921.6,358.4,Cash,Express,4,No
O0043,2025-09-26,C027,P013,3,396,0,1188.0,855.36,332.64,UPI,Express,5,No
O0044,2025-03-06,C065,P017,2,144,0.1,259.2,207.36,51.84,Card,Express,4,No
O0045,2025-08-10,C040,P028,1,180,0,180.0,129.6,50.4,UPI,Express,5,No
O0046,2025-01-01,C010,P013,5,925,0.15 ,3931.25,3330.0,601.25,UPI,Standard,7,Yes
O0047,2025-04-25,C020,P005,5,748,0,3740.0,2692.8,1047.2,Cash,Express,1,Yes
O0048,2025-01-01,C017,P008,5,991,0,4955.0,3567.6,1387.4,Cash,Express,2,No
O0049,2025-09-28,C056,P023,1,151,0,151.0,108.72,42.28,UPI,Standard,4,No
O0050,2025-04-25,C077,P001,1,600,0.1,540.0,432.0,108.0, Card ,Express,3,Yes
O0051,2025-09-01,C068,P008,5,302,0,1510.0,1087.2,422.8,UPI,Express,1,Yes
O0052,2025-04-10,C064,P029,4,133,0.1,478.8,383.04,95.76,Card,Express,3,Yes
O0053,2025-09-10,C005,P023,3,785,0.15 ,2001.75,1695.6,306.15,UPI,Express,2,Yes
O0054,2025-05-30,C065,P003,2,557,0.05,1058.3,802.08,256.22,UPI,Standard,2,No
O0055,2025-04-24,C034,P025,3,161,0.15 ,410.55,347.76,62.79,Cash,Standard,2,No
O0056,2025-08-02,C008,P005,5,199,0.15 ,845.75,716.4,129.35,Card,Standard,1,Yes
O0057,2025-08-01,C007,P023,1,238,0.15 ,202.3,171.36,30.94,UPI,Express,6,Yes
O0058,2025-02-10,C022,P011,2,239,0.15 ,406.3,344.16,62.14,Card,Express,6,No
O0059,2025-07-11,C043,P015,2,161,0,322.0,231.84,90.16,Card,Express,1,No
O0060,2025-08-04,C016,P018,2,439,0.1,790.2,632.16,158.04,UPI,standard,1,Yes
O0061,2025-12-28,C061,P007,3,604,0.15 ,1540.2,1304.64,235.56,Card,Express,3,No
O0062,2025-01-16,C010,P014,2,881,0.15 ,1497.7,1268.64,229.06,Card,Express,1,No
O0063,2025-02-02,C008,P009,2,815,0,1630.0,1173.6,456.4,Cash,Express,3,No
O0064,2025-06-21,C079,P002,3,814,0.1,2197.8,1758.24,439.56,UPI,Express,1,Yes
O0065,2025-01-13,C030,P004,4,782,0.15 ,2658.8,2252.16,406.64,UPI,Express,4,No
O0066,2025-03-09,C064,P006,1,871,0.1,783.9,627.12,156.78,Cash,Standard,5,Yes
O0067,2025-06-17,C041,P015,3,852,0,2556.0,1840.32,715.68,Cash,Standard,4,Yes
O0068,2025-05-07,C053,P003,1,543,0.1,488.7,390.96,97.74,Card,Express,1,Yes
O0069,2025-05-16,C080,P003,2,148,0.15 ,251.6,213.12,38.48,UPI,Express,2,Yes
O0070,2025-03-10,C054,P015,5,962,0.05,4569.5,3463.2,1106.3,Cash,Standard,7,No
O0071,2025-05-31,C036,P019,3,431,0.1,1163.7,930.96,232.74,Cash,Express,2,No
O0072,2025-05-07,C024,P008,2,207,0.1,372.6,298.08,74.52,Cash,Standard,3,Yes
O0073,2025-07-22,C033,P008,5,588,0.05,2793.0,2116.8,676.2,Cash,Standard,6,No
O0074,2025-01-19,C014,P001,4,954,0.05,3625.2,2747.52,,UPI,Express,1,No
O0075,2025-04-30,C016,P002,2,664,0.05,1261.6,956.16,305.44, Card ,Express,5,Yes
O0076,2025-08-18,C078,P009,1,158,0.1,142.2,113.76,28.44,Card,Standard,3,No
O0077,2025-03-14,C006,P007,3,89,0.05,253.65,192.24,61.41,Card,Express,4,No
O0078,2025-04-05,C080,P010,1,258,0,258.0,185.76,72.24,UPI,Express,1,No
O0079,2025-02-21,C051,P022,5,208,0,1040.0,748.8,291.2,Cash,Standard,4,No
O0080,29/07/2025,C037,P022,3,477,0,1431.0,1030.32,400.68,UPI,Express,4,No
O0081,2025-01-10,C047,P021,2,450,0.15 ,765.0,648.0,117.0,Card,Standard,4,Yes
O0082,2025-08-05,C015,P027,1,465,0.1,418.5,334.8,-97.57,Card,Standard,1,Yes
O0083,2025-10-10,C019,P021,4,141,0.1,507.6,406.08,101.52,Cash,Standard,2,No
O0084,2025-05-26,C021,P017,2,997,0,1994.0,1435.68,558.32,Card,Express,4,Yes
O0085,2025-06-04,C017,P027,1,984,0.15 ,836.4,708.48,127.92,UPI,Standard,5,No
O0086,2025-02-14,C080,P023,2,705,0.05,1339.5,1015.2,324.3,Cash,Express,5,Yes
O0087,2025-08-31,C024,P019,2,92,0.15 ,156.4,132.48,23.92,Cash,Standard,4,No
O0088,2025-03-05,C020,P008,2,92,0,184.0,132.48,51.52,Cash,Express,1,No
O0089,2025-11-03,C059,P018,3,714,0.15 ,1820.7,1542.24,278.46,UPI,Standard,4,No
O0090,2025-12-04,C048,P015,5,498,0.05,2365.5,1792.8,572.7,Card,standard,5,No
O0091,2025-08-27,C031,P015,5,848,0.15 ,3604.0,3052.8,551.2,Card,Express,4,Yes
O0092,2025-02-04,C017,P012,4,424,0,1696.0,1221.12,474.88,UPI,Standard,1,Yes
O0093,2025-02-12,C041,P025,5,131,0,655.0,471.6,183.4,Cash,Express,6,Yes
O0094,2025-01-14,C009,P020,1,248,0.05,235.6,178.56,57.04,UPI,Express,7,Yes
O0095,2025-12-18,C029,P003,3,675,0.1,1822.5,1458.0,364.5,Card,Express,5,No
O0096,2025-08-22,C019,P009,5,991,0.15 ,4211.75,3567.6,644.15,Card,Express,5,Yes
O0097,2025-06-13,C048,P002,2,236,0.15 ,401.2,339.84,61.36,Card,Express,6,No
O0098,2025-07-12,C022,P026,3,167,0,501.0,360.72,140.28,Cash,Express,7,No
O0099,2025-10-12,C067,P019,1,308,0.15 ,261.8,221.76,40.04,Cash,Express,3,No
O0100,2025-07-08,C074,P005,3,388,0,1164.0,838.08,325.92, Card ,Standard,2,Yes
O0101,2025-06-01,C067,P009,3,704,0.1,1900.8,1520.64,380.16,Cash,Standard,6,Yes
O0102,2025-04-24,C020,P010,5,690,0.15 ,2932.5,2484.0,448.5,UPI,Express,1,Yes
O0103,2025-09-08,C030,P020,1,72,0,72.0,51.84,20.16,Card,Express,3,Yes
O0104,2025-09-25,C046,P018,2,473,0.1,851.4,681.12,170.28,Cash,Standard,2,No
O0105,2025-11-16,C061,P006,2,64,0.05,121.6,92.16,29.44,Cash,Standard,4,Yes
O0106,2025-02-02,C019,P028,3,461,0.1,1244.7,995.76,248.94,Card,Standard,6,No
O0107,2025-11-01,C075,P015,5,580,0.15 ,2465.0,2088.0,377.0,Card,Standard,1,Yes
O0108,2025-02-01,C069,P001,4,240,0.05,912.0,691.2,220.8,Card,Standard,7,Yes
O0109,2025-01-07,C079,P018,2,195,0.15 ,331.5,280.8,50.7,Card,Express,7,Yes
O0110,2025-09-18,C040,P003,3,690,0,2070.0,1490.4,579.6,Cash,Express,6,Yes
O0111,2025-07-12,C056,P024,4,132,0.15 ,448.8,380.16,,Card,Standard,1,No
O0112,2025-04-29,C005,P004,3,962,0.1,2597.4,2077.92,519.48,Cash,Standard,3,No
O0113,2025-12-18,C067,P009,3,707,0.05,2014.95,1527.12,487.83,Card,Standard,2,No
O0114,2025-05-01,C026,P005,2,814,0.1,1465.2,1172.16,293.04,Card,Express,3,Yes
O0115,2025-07-14,C010,P030,5,530,0.15 ,2252.5,1908.0,344.5,Cash,Standard,7,Yes
O0116,2025-08-12,C030,P019,3,858,0.05,2445.3,1853.28,592.02,UPI,Standard,5,Yes
O0117,2025-03-16,C005,P001,1,159,0.05,151.05,114.48,36.57,UPI,Standard,6,Yes
O0118,2025-01-16,C006,P005,1,763,0,763.0,549.36,213.64,Cash,Standard,1,No
O0119,2025-04-13,C069,P029,1,950,0.15 ,807.5,684.0,123.5,Card,Standard,2,Yes
O0120,27/02/2025,C005,P002,1,894,0.1,804.6,643.68,160.92,UPI,standard,2,Yes
O0121,2025-11-27,C027,P010,3,394,0.15 ,1004.7,851.04,153.66,UPI,Standard,3,No
O0122,2025-05-25,C007,P023,3,982,0.1,2651.4,2121.12,530.28,Cash,Express,7,No
O0123,2025-11-13,C004,P026,4,81,0.15 ,275.4,233.28,-108.54,Card,Express,4,Yes
O0124,2025-10-03,C073,P007,1,638,0.1,574.2,459.36,114.84,Card,Express,1,Yes
O0125,2025-05-28,C007,P001,3,552,0,1656.0,1192.32,463.68, Card ,Standard,4,No
O0126,2025-09-21,C034,P019,2,340,0.05,646.0,489.6,156.4,Cash,Standard,4,Yes
O0127,2025-02-26,C011,P016,5,855,0,4275.0,3078.0,1197.0,Cash,Express,3,Yes
O0128,2025-07-25,C051,P029,1,482,0,482.0,347.04,134.96,UPI,Standard,3,No
O0129,2025-08-08,C070,P017,2,438,0.05,832.2,630.72,201.48,UPI,Standard,5,Yes
O0130,2025-06-28,C075,P011,5,209,0.15 ,888.25,752.4,135.85,Cash,Express,2,No
O0131,2025-08-13,C033,P019,2,179,0.1,322.2,257.76,64.44,UPI,Standard,5,Yes
O0132,2025-05-17,C039,P025,5,208,0.05,988.0,748.8,239.2,Card,Express,5,No
O0133,2025-03-24,C031,P011,2,314,0,628.0,452.16,175.84,Card,Standard,2,No
O0134,2025-03-19,C019,P026,3,800,0.1,2160.0,1728.0,432.0,UPI,Express,2,Yes
O0135,2025-11-23,C014,P009,2,956,0.15 ,1625.2,1376.64,248.56,UPI,Standard,1,No
O0136,2025-08-12,C029,P017,3,524,0,1572.0,1131.84,440.16,Card,Express,5,No
O0137,2025-01-03,C032,P030,4,767,0.15 ,2607.8,2208.96,398.84,Card,Standard,6,Yes
O0138,2025-11-25,C016,P015,4,370,0.1,1332.0,1065.6,266.4,Cash,Standard,4,Yes
O0139,2025-07-24,C010,P006,3,919,0.15 ,2343.45,1985.04,358.41,UPI,Express,1,No
O0140,2025-09-23,C024,P029,3,846,0,2538.0,1827.36,710.64,UPI,Express,1,Yes
O0141,2025-05-09,C070,P007,2,783,0.05,1487.7,1127.52,360.18,Cash,Express,1,No
O0142,2025-10-05,C027,P023,4,574,0,2296.0,1653.12,642.88,Cash,Express,5,No
O0143,2025-07-30,C059,P007,2,451,0,902.0,649.44,252.56,Cash,Express,6,Yes
O0144,2025-05-10,C036,P013,4,112,0,448.0,322.56,125.44,Card,Express,4,No
O0145,2025-10-25,C034,P004,2,360,0.15 ,612.0,518.4,93.6,Cash,Standard,7,No
O0146,2025-08-25,C028,P006,2,845,0,1690.0,1216.8,473.2,Cash,Standard,4,Yes
O0147,2025-03-16,C046,P022,4,529,0.1,1904.4,1523.52,380.88,Cash,Standard,7,No
O0148,2025-07-01,C030,P009,4,753,0.1,2710.8,2168.64,,UPI,Standard,4,Yes
O0149,2025-05-24,C046,P008,3,378,0.15 ,963.9,816.48,147.42,UPI,Express,5,Yes
O0150,2025-12-04,C047,P005,3,924,0.15 ,2356.2,1995.84,360.36, Card ,standard,7,No
O0151,2025-03-13,C068,P027,3,698,0,2094.0,1507.68,586.32,Cash,Standard,2,Yes
O0152,2025-12-02,C038,P009,5,153,0.05,726.75,550.8,175.95,Card,Standard,7,No
O0153,2025-06-27,C020,P007,4,860,0.05,3268.0,2476.8,791.2,Cash,Standard,6,No
O0154,2025-04-12,C064,P023,2,593,0,1186.0,853.92,332.08,Cash,Express,6,Yes
O0155,2025-10-12,C016,P009,4,289,0.05,1098.2,832.32,265.88,UPI,Express,5,Yes
O0156,2025-09-05,C060,P029,2,767,0.15 ,1303.9,1104.48,199.42,Card,Express,2,Yes
O0157,2025-03-24,C042,P015,5,559,0.1,2515.5,2012.4,503.1,UPI,Express,4,No
O0158,2025-12-13,C010,P006,3,701,0,2103.0,1514.16,588.84,Card,Standard,6,No
O0159,2025-02-18,C066,P016,4,825,0.05,3135.0,2376.0,759.0,Card,Standard,6,No
O0160,17/11/2025,C017,P011,1,932,0.1,838.8,671.04,167.76,UPI,Express,7,Yes
O0161,2025-05-26,C056,P011,4,307,0,1228.0,884.16,343.84,UPI,Express,3,No
O0162,2025-07-26,C043,P017,3,943,0.1,2546.1,2036.88,509.22,Card,Express,7,Yes
O0163,2025-06-19,C025,P011,3,180,0,540.0,388.8,151.2,Card,Express,6,No
O0164,2025-10-07,C074,P002,4,357,0,1428.0,1028.16,-11.18,Card,Express,5,Yes
O0165,2025-09-14,C070,P020,4,681,0.05,2587.8,1961.28,626.52,Cash,Standard,2,Yes
O0166,2025-12-08,C059,P021,2,153,0.05,290.7,220.32,70.38,Card,Express,7,Yes
O0167,2025-12-02,C002,P012,2,855,0.1,1539.0,1231.2,307.8,Cash,Express,7,No
O0168,2025-04-05,C054,P002,3,70,0.15 ,178.5,151.2,27.3,Cash,Standard,4,Yes
O0169,2025-03-02,C054,P019,4,507,0,2028.0,1460.16,567.84,Card,Express,5,Yes
O0170,2025-09-01,C053,P018,1,134,0.15 ,113.9,96.48,17.42,Card,Standard,6,Yes
O0171,2025-08-07,C001,P001,1,929,0,929.0,668.88,260.12,Card,Standard,2,No
O0172,2025-01-10,C036,P024,5,298,0.15 ,1266.5,1072.8,193.7,Cash,Standard,1,No
O0173,2025-12-22,C019,P024,1,350,0.15 ,297.5,252.0,45.5,UPI,Express,1,Yes
O0174,2025-01-06,C008,P001,5,131,0.15 ,556.75,471.6,85.15,UPI,Express,6,Yes
O0175,2025-09-07,C078,P002,3,426,0.15 ,1086.3,920.16,166.14, Card ,Standard,2,Yes
O0176,2025-07-05,C021,P021,4,538,0.15 ,1829.2,1549.44,279.76,UPI,Express,7,No
O0177,2025-05-30,C036,P002,5,716,0.1,3222.0,2577.6,644.4,Cash,Standard,7,Yes
O0178,2025-11-04,C040,P019,4,959,0.05,3644.2,2761.92,882.28,UPI,Express,6,No
O0179,2025-11-05,C030,P026,4,340,0,1360.0,979.2,380.8,UPI,Express,3,No
O0180,2025-03-22,C076,P030,1,345,0.05,327.75,248.4,79.35,Cash,standard,3,No
O0181,2025-06-27,C069,P003,5,616,0.15 ,2618.0,2217.6,400.4,UPI,Standard,7,Yes
O0182,2025-06-08,C078,P002,4,526,0.05,1998.8,1514.88,483.92,UPI,Standard,7,No
O0183,2025-08-24,C070,P003,5,875,0.1,3937.5,3150.0,787.5,Card,Standard,4,No
O0184,2025-09-25,C042,P016,5,653,0.05,3101.75,2350.8,750.95,Card,Standard,2,Yes
O0185,2025-04-03,C038,P012,5,627,0.1,2821.5,2257.2,,UPI,Standard,2,Yes
O0186,2025-09-10,C048,P028,1,430,0.15 ,365.5,309.6,55.9,Card,Standard,3,Yes
O0187,2025-06-26,C036,P017,5,71,0,355.0,255.6,99.4,Card,Standard,7,No
O0188,2025-10-28,C073,P007,3,997,0.1,2691.9,2153.52,538.38,UPI,Standard,4,Yes
O0189,2025-05-11,C005,P011,2,235,0.15 ,399.5,338.4,61.1,Card,Standard,1,Yes
O0190,2025-10-13,C048,P028,4,548,0,2192.0,1578.24,613.76,Cash,Express,1,Yes
O0191,2025-05-12,C041,P019,2,706,0,1412.0,1016.64,395.36,Cash,Express,2,No
O0192,2025-03-23,C048,P005,2,788,0.05,1497.2,1134.72,362.48,Card,Standard,3,No
O0193,2025-01-31,C071,P029,1,907,0,907.0,653.04,253.96,UPI,Express,1,Yes
O0194,2025-03-16,C041,P025,1,253,0.1,227.7,182.16,45.54,Cash,Express,7,Yes
O0195,2025-08-30,C042,P012,3,449,0,1347.0,969.84,377.16,UPI,Express,4,Yes
O0196,2025-08-14,C031,P026,2,986,0,1972.0,1419.84,552.16,UPI,Standard,7,Yes
O0197,2025-03-22,C029,P003,5,937,0.1,4216.5,3373.2,843.3,Cash,Standard,7,No
O0198,2025-02-19,C050,P027,1,693,0,693.0,498.96,194.04,UPI,Express,3,Yes
O0199,2025-09-02,C015,P021,3,196,0.1,529.2,423.36,105.84,Card,Standard,2,No
O0200,11/10/2025,C019,P015,2,322,0.15 ,547.4,463.68,83.72, Card ,Standard,2,Yes
O0201,2025-05-19,C074,P027,3,392,0.05,1117.2,846.72,270.48,UPI,Express,1,No
O0202,2025-08-22,C062,P004,2,575,0,1150.0,828.0,322.0,Cash,Standard,5,No
O0203,2025-05-27,C016,P009,2,423,0.15 ,719.1,609.12,109.98,UPI,Standard,2,Yes
O0204,2025-07-19,C038,P014,2,108,0.1,194.4,155.52,38.88,Card,Standard,4,No
O0205,2025-09-19,C018,P015,1,858,0.1,772.2,617.76,-45.31,UPI,Standard,4,Yes
O0206,2025-05-22,C074,P006,2,913,0.05,1734.7,1314.72,419.98,Cash,Standard,6,Yes
O0207,2025-04-11,C077,P003,1,960,0.15 ,816.0,691.2,124.8,UPI,Standard,2,Yes
O0208,2025-11-10,C010,P026,2,646,0.1,1162.8,930.24,232.56,Card,Standard,1,No
O0209,2025-01-29,C067,P026,3,393,0.1,1061.1,848.88,212.22,Cash,Express,1,Yes
O0210,2025-07-29,C062,P005,3,304,0.05,866.4,656.64,209.76,Cash,standard,1,Yes
O0211,2025-12-26,C048,P019,5,928,0,4640.0,3340.8,1299.2,UPI,Express,5,Yes
O0212,2025-03-03,C046,P023,2,886,0.1,1594.8,1275.84,318.96,Cash,Express,5,Yes
O0213,2025-05-30,C014,P005,4,507,0,2028.0,1460.16,567.84,Cash,Standard,1,Yes
O0214,2025-02-15,C029,P020,2,221,0,442.0,318.24,123.76,UPI,Express,5,Yes
O0215,2025-01-10,C013,P030,2,317,0,634.0,456.48,177.52,Cash,Express,5,Yes
O0216,2025-12-26,C057,P004,3,940,0,2820.0,2030.4,789.6,Cash,Standard,1,No
O0217,2025-03-05,C060,P016,5,562,0.1,2529.0,2023.2,505.8,Card,Standard,1,No
O0218,2025-03-12,C070,P019,2,931,0.05,1768.9,1340.64,428.26,Card,Express,6,No
O0219,2025-03-26,C003,P005,4,760,0.15 ,2584.0,2188.8,395.2,Cash,Standard,4,Yes
O0220,2025-07-05,C044,P013,2,908,0.1,1634.4,1307.52,326.88,Cash,Express,7,No
O0221,2025-07-25,C072,P002,3,579,0.05,1650.15,1250.64,399.51,Cash,Express,2,No
O0222,2025-12-06,C010,P001,3,161,0.05,458.85,347.76,,Card,Express,4,Yes
O0223,2025-09-16,C003,P008,2,480,0.15 ,816.0,691.2,124.8,UPI,Standard,7,Yes
O0224,2025-01-18,C080,P009,5,329,0,1645.0,1184.4,460.6,Cash,Standard,3,Yes
O0225,2025-09-24,C002,P014,2,90,0.1,162.0,129.6,32.4, Card ,Express,3,Yes
O0226,2025-03-03,C008,P020,5,973,0.1,4378.5,3502.8,875.7,Card,Express,5,Yes
O0227,2025-08-14,C016,P017,2,956,0.1,1720.8,1376.64,344.16,UPI,Express,3,Yes
O0228,2025-02-14,C070,P010,4,674,0.05,2561.2,1941.12,620.08,Cash,Express,2,No
O0229,2025-08-24,C071,P010,5,539,0.15 ,2290.75,1940.4,350.35,UPI,Standard,2,No
O0230,2025-04-24,C025,P017,5,442,0.15 ,1878.5,1591.2,287.3,Card,Express,2,Yes
O0231,2025-06-15,C072,P011,4,326,0.1,1173.6,938.88,234.72,Card,Express,1,Yes
O0232,2025-03-23,C071,P003,5,942,0.1,4239.0,3391.2,847.8,UPI,Standard,5,No
O0233,2025-08-14,C046,P024,1,583,0.05,553.85,419.76,134.09,Cash,Standard,4,No
O0234,2025-12-09,C046,P005,2,681,0.1,1225.8,980.64,245.16,Cash,Standard,6,No
O0235,2025-05-18,C010,P023,2,472,0,944.0,679.68,264.32,Card,Express,7,Yes
O0236,2025-09-12,C051,P005,5,203,0.15 ,862.75,730.8,131.95,UPI,Standard,4,No
O0237,2025-12-21,C059,P010,3,349,0.1,942.3,753.84,188.46,UPI,Express,6,No
O0238,2025-01-04,C064,P013,4,357,0.05,1356.6,1028.16,328.44,Cash,Express,7,Yes
O0239,2025-08-12,C074,P013,5,287,0,1435.0,1033.2,401.8,UPI,Express,7,Yes
O0240,16/06/2025,C027,P014,1,76,0,76.0,54.72,21.28,UPI,standard,3,No
O0241,2025-10-03,C080,P014,5,895,0.15 ,3803.75,3222.0,581.75,UPI,Express,3,Yes
O0242,2025-11-01,C045,P015,1,742,0,742.0,534.24,207.76,Cash,Standard,1,No
O0243,2025-07-11,C065,P013,5,1000,0.05,4750.0,3600.0,1150.0,Card,Express,4,No
O0244,2025-08-14,C080,P029,5,401,0,2005.0,1443.6,561.4,Card,Express,3,No
O0245,2025-02-08,C040,P017,2,163,0.1,293.4,234.72,58.68,Cash,Express,7,No
O0246,2025-11-20,C021,P017,3,885,0.05,2522.25,1911.6,-105.93,Card,Express,2,Yes
O0247,2025-11-19,C073,P020,1,411,0,411.0,295.92,115.08,Cash,Express,1,Yes
O0248,2025-06-07,C071,P001,3,457,0,1371.0,987.12,383.88,Cash,Standard,6,Yes
O0249,2025-04-11,C023,P016,5,630,0.1,2835.0,2268.0,567.0,Cash,Standard,5,Yes
O0250,2025-07-30,C078,P004,2,210,0,420.0,302.4,117.6, Card ,Standard,1,Yes
O0251,2025-09-25,C063,P027,4,677,0.15 ,2301.8,1949.76,352.04,Card,Standard,6,No
O0252,2025-03-15,C031,P012,3,223,0,669.0,481.68,187.32,UPI,Standard,7,Yes
O0253,2025-06-28,C025,P015,5,444,0,2220.0,1598.4,621.6,Card,Standard,4,Yes
O0254,2025-08-14,C007,P020,2,305,0.05,579.5,439.2,140.3,Card,Standard,5,Yes
O0255,2025-06-11,C001,P029,4,360,0.15 ,1224.0,1036.8,187.2,Cash,Express,4,Yes
O0256,2025-05-05,C050,P022,5,276,0.15 ,1173.0,993.6,179.4,UPI,Express,6,No
O0257,2025-01-12,C032,P003,2,224,0.1,403.2,322.56,80.64,UPI,Standard,1,No
O0258,2025-07-22,C072,P012,1,393,0.15 ,334.05,282.96,51.09,UPI,Express,6,Yes
O0259,2025-03-05,C055,P027,3,617,0.05,1758.45,1332.72,,UPI,Standard,4,No
O0260,2025-06-26,C031,P014,1,335,0,335.0,241.2,93.8,UPI,Standard,2,Yes
O0261,2025-02-17,C026,P009,5,905,0.05,4298.75,3258.0,1040.75,Cash,Express,4,Yes
O0262,2025-03-23,C048,P012,2,789,0.15 ,1341.3,1136.16,205.14,UPI,Standard,3,No
O0263,2025-09-16,C027,P008,4,741,0.05,2815.8,2134.08,681.72,Cash,Express,5,No
O0264,2025-10-28,C048,P018,2,463,0.05,879.7,666.72,212.98,Card,Standard,6,Yes
O0265,2025-10-05,C035,P024,4,79,0.05,300.2,227.52,72.68,UPI,Standard,4,Yes
O0266,2025-12-22,C023,P025,2,378,0.05,718.2,544.32,173.88,Cash,Standard,1,No
O0267,2025-09-14,C039,P007,1,785,0.1,706.5,565.2,141.3,Card,Standard,3,Yes
O0268,2025-07-24,C037,P012,4,914,0.15 ,3107.6,2632.32,475.28,Cash,Standard,3,Yes
O0269,2025-01-16,C047,P022,3,968,0.15 ,2468.4,2090.88,377.52,Card,Express,2,No
O0270,2025-06-30,C010,P004,2,348,0,696.0,501.12,194.88,UPI,standard,6,Yes
O0271,2025-07-27,C006,P020,2,491,0.05,932.9,707.04,225.86,UPI,Standard,4,Yes
O0272,2025-10-10,C040,P021,2,628,0.05,1193.2,904.32,288.88,Cash,Express,6,No
O0273,2025-08-11,C074,P012,1,164,0.1,147.6,118.08,29.52,Card,Standard,2,Yes
O0274,2025-01-20,C041,P007,3,817,0,2451.0,1764.72,686.28,UPI,Express,6,Yes
O0275,2025-05-24,C068,P003,3,484,0.15 ,1234.2,1045.44,188.76, Card ,Express,5,Yes
